,Product Name,Price,Reviews
0,Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15IRH8 Thin a...,"₹59,390",4.5
1,HP Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0021TU Thin and Light Laptop,"₹55,990",4.2
2,Lenovo V15 Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,"₹19,990",4
3,Colorful Evol P-15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,"₹65,311",
4,ASUS X1502ZA Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ532WS Laptop,"₹45,900",3.9
5,Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹73,990",4.7
6,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Th...,"₹34,990",3.8
7,Acer Aspire 7 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"₹54,990",4.2
8,Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,"₹27,990",4.3
9,DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,"₹34,990",4.2
10,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹16,990",3.7
11,HP 2023 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Light L...,"₹49,990",4.2
12,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹35,990",4.2
13,DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,"₹35,490",4.2
14,HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,"₹26,990",4.1
15,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2223AU Thin and Light Laptop,"₹37,990",4.3
16,SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XFG-KB1IN T...,"₹62,990",4.4
17,ASUS Vivobook 14 (2023) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-NK321...,"₹42,990",4.1
18,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,"₹29,990",4.2
19,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...,"₹41,990",4.3
20,SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XFG-KA3IN ...,"₹81,990",4.4
21,Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"₹59,990",4.2
22,ZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) ZEB-NB...,"₹43,990",3.9
23,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ545WS Thi...,"₹52,990",4.1
24,ZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-...,"₹40,990",3.9
25,Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,"₹22,990",4
26,HP Pavilion Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 15-eg3018TU Thin and Light...,"₹74,990",4.3
